,LatestRevisionid,Revision_ID,ORES_score
0,1171163550.0,1171163550,C
1,,1177621427,C
2,,1168359898,C
3,,1165909508,GA
4,,1179139816,C
5,,1179198677,C
6,,1179140073,GA
7,,1167792390,GA
8,,1165909718,C
9,,1165909823,C
10,,1179141586,C
11,,662691565,Stub
12,,1176049382,C
13,,1171375371,C
14,,1176903479,GA
15,,1177623964,C
16,,1166014478,C
17,,1166014498,C
18,,1166014593,C
19,,1174331705,C
20,,1148844011,C
21,,1175308807,C
22,,1167926420,C
23,,1165507856,C
24,,1179878794,C
25,,1166014815,C
26,,1166014861,Start
27,,1168820544,Start
28,,1166014939,C
29,,1166014954,Start
30,,1166014997,C
31,,1177963600,C
32,,1177999052,C
33,,1166015184,GA
34,,1166015214,C
35,,1166015251,Start
36,,1166015313,C
37,,1166015434,C
38,,1166015476,Start
39,,1166015515,C
40,,1178999596,C
41,,1166015695,Start
42,,1179944837,B
43,,1166015772,Start
44,,1105978061,GA
45,,1166015902,Start
46,,1177138566,GA
47,,1166015957,C
48,,1166015981,C
49,,1165814013,C
50,,1172245542,GA
51,,1162427481,GA
52,,1165537046,GA
53,,1177621572,C
54,,1166016323,GA
55,,1170769013,C
56,,1178216914,C
57,,1165537457,C
58,,1144752979,C
59,,1165537934,C
60,,1176316224,GA
61,,1166017104,C
62,,1175376595,C
63,,1166017260,Start
64,,1166017310,Start
65,,1096812581,C
66,,1166017442,Start
67,,1177836881,C
68,,1174837569,C
69,,1164314017,C
70,,1172134285,C
71,,1159488446,C
72,,1165539092,C
73,,1166017755,C
74,,1165539195,C
75,,1165539227,GA
76,,1165539457,C
77,,1158612343,GA
78,,1177621993,C
79,,1166018079,Start
80,,1155236230,C
81,,1168466910,C
82,,1165644511,Start
83,,1166018304,C
84,,1166018326,Start
85,,1166029689,C
86,,1166018360,Start
87,,1177947751,C
88,,1166018463,GA
89,,1166018475,C
90,,1151357569,C
91,,1172561590,C
92,,1165645181,GA
93,,1096812941,C
94,,1166018950,Start
95,,1157580326,GA
96,,1166019003,C
97,,1139764613,GA
98,,1166066155,C
99,,1175879685,C
100,,1180017307,B
101,,1172824345,Start
102,,1158607851,C
103,,1154496305,GA
104,,1165646156,FA
105,,1174226588,B
106,,1166066473,C
107,,1166066487,C
108,,1166066515,C
109,,1178063438,C
110,,1161394946,B
111,,1166066756,Start
112,,1166066982,Start
113,,1165647022,C
114,,1179231968,B
115,,1159024876,C
116,,1166067023,GA
117,,1096813187,Start
118,,1166067175,C
119,,1165647609,C
120,,1145048302,C
121,,1166067508,C
122,,1163400900,C
123,,1175895043,C
124,,1178177223,Start
125,,1176555126,C
126,,1166067658,C
127,,1158753175,C
128,,1160273773,C
129,,1166067751,C
130,,1166067848,Start
131,,1160493671,GA
132,,1158611853,C
133,,1166067877,GA
134,,1158611789,C
135,,1166067942,C
136,,1177239572,C
137,,1173963070,C
138,,1166068021,C
139,,1166068054,GA
140,,1167428050,GA
141,,1142947111,C
142,,1166068289,C
143,,1166244039,C
144,,1166068321,C
145,,1178304592,C
